fname,label,manually_verified
001ca53d.wav,Saxophone,1
0033e230.wav,Glockenspiel,1
00353774.wav,Cello,1
0048fd00.wav,Gunshot_or_gunfire,1
006f2f32.wav,Hi-hat,1
0091fc7f.wav,Cello,1
00cb787c.wav,Flute,1
00d3bba3.wav,Telephone,1
00f88dc5.wav,Glockenspiel,1
011a2185.wav,Cello,1
0160d55e.wav,Gong,1
01a59c11.wav,Harmonica,1
01b9f44a.wav,Telephone,1
01c2f88b.wav,Bass_drum,1
01d4dafd.wav,Harmonica,1
01e723f5.wav,Harmonica,1
01f2e70b.wav,Gunshot_or_gunfire,1
01fc4661.wav,Oboe,1
024c4c6d.wav,Bass_drum,1
024da466.wav,Tambourine,1
025f3fd2.wav,Hi-hat,1
027482e2.wav,Electric_piano,1
027aa77c.wav,Clarinet,1
0286fc27.wav,Double_bass,1
029ee867.wav,Gunshot_or_gunfire,1
02a3243a.wav,Telephone,1
02d367e4.wav,Clarinet,1
02e9392e.wav,Tambourine,1
02eed858.wav,Harmonica,1
0356dec7.wav,Acoustic_guitar,1
03bb1c33.wav,Glockenspiel,1
03fc1f96.wav,Bass_drum,1
04186a03.wav,Violin_or_fiddle,1
0446a487.wav,Snare_drum,1
044be615.wav,Violin_or_fiddle,1
05561612.wav,Cello,1
0556be76.wav,Violin_or_fiddle,1
058b98f0.wav,Telephone,1
05a3154f.wav,Oboe,1
05bc162b.wav,Gunshot_or_gunfire,1
05d54a68.wav,Trumpet,1
05e4028a.wav,Saxophone,1
05ef46ec.wav,Double_bass,1
05f2c2a6.wav,Clarinet,1
060e13d6.wav,Trumpet,1
060fab76.wav,Electric_piano,1
06730f97.wav,Trumpet,1
06789937.wav,Saxophone,1
06959969.wav,Tambourine,1
06b278f7.wav,Harmonica,1
06b89bf9.wav,Violin_or_fiddle,1
06c48eab.wav,Hi-hat,1
06d2b52b.wav,Cowbell,1
06ed75a7.wav,Gong,1
06f60188.wav,Saxophone,1
0716126b.wav,Harmonica,1
071803a0.wav,Cello,1
071efb95.wav,Bass_drum,1
0720ef3b.wav,Saxophone,1
07211dfa.wav,Trumpet,1
0738f99f.wav,Oboe,1
074e2f09.wav,Hi-hat,1
078f7ac0.wav,Hi-hat,1
079968f4.wav,Clarinet,1
07ce4408.wav,Gunshot_or_gunfire,1
07db7f16.wav,Flute,1
07f16007.wav,Cello,1
085652af.wav,Oboe,1
087f12b6.wav,Cowbell,1
0886c767.wav,Chime,1
08894340.wav,Double_bass,1
088d3f95.wav,Harmonica,1
08a68ba1.wav,Acoustic_guitar,1
08b88eb7.wav,Violin_or_fiddle,1
090e1d30.wav,Cowbell,1
09158810.wav,Tambourine,1
0933c357.wav,Gunshot_or_gunfire,1
095138e2.wav,Oboe,1
0958751e.wav,Hi-hat,1
09a1cfd7.wav,Hi-hat,1
09a7dc35.wav,Cowbell,1
09b8a126.wav,Violin_or_fiddle,1
09ea5276.wav,Trumpet,1
0a6bba04.wav,Cowbell,1
0a8ac55d.wav,Tambourine,1
0a925754.wav,Telephone,1
0aad0a16.wav,Gunshot_or_gunfire,1
0ad0bf22.wav,Saxophone,1
0ad666e3.wav,Saxophone,1
0b05208c.wav,Electric_piano,1
0b1f22c3.wav,Saxophone,1
0b82b3a5.wav,Clarinet,1
0b92a7e0.wav,Chime,1
0ba6976e.wav,Clarinet,1
0ba927cd.wav,Hi-hat,1
0bab86ae.wav,Violin_or_fiddle,1
0bca94ec.wav,Glockenspiel,1
0c27360a.wav,Gunshot_or_gunfire,1
0c3044b3.wav,Saxophone,1
0c36c39a.wav,Saxophone,1
0c4f2a87.wav,Oboe,1
0c547bc4.wav,Violin_or_fiddle,1
0c67f402.wav,Snare_drum,1
0d481dea.wav,Glockenspiel,1
0d661b19.wav,Telephone,1
0d8012f4.wav,Saxophone,1
0da0c554.wav,Double_bass,1
0da527a6.wav,Violin_or_fiddle,1
0ddb4bdf.wav,Bass_drum,1
0e2ec031.wav,Gunshot_or_gunfire,1
0e6e1f35.wav,Chime,1
0e7622f0.wav,Saxophone,1
0e7cd4eb.wav,Violin_or_fiddle,1
0e979b8c.wav,Cowbell,1
0ed06544.wav,Hi-hat,1
0ede064f.wav,Gunshot_or_gunfire,1
0eeaebcb.wav,Acoustic_guitar,1
0ef9a602.wav,Hi-hat,1
0f2903db.wav,Chime,1
0f2ab678.wav,Electric_piano,1
0f34d08e.wav,Hi-hat,1
0f36e49a.wav,Cowbell,1
0f958ff0.wav,Saxophone,1
0fa61324.wav,Flute,1
0fe6c47d.wav,Oboe,1
102db6b4.wav,Flute,1
103b9ed4.wav,Oboe,1
103f29e5.wav,Double_bass,1
104f8672.wav,Glockenspiel,1
10550a6f.wav,Gong,1
105a8017.wav,Tambourine,1
10da16fb.wav,Acoustic_guitar,1
10e3e4eb.wav,Telephone,1
111bad6f.wav,Gunshot_or_gunfire,1
1131892a.wav,Telephone,1
11329fa9.wav,Gunshot_or_gunfire,1
1148986e.wav,Violin_or_fiddle,1
114cf102.wav,Violin_or_fiddle,1
11710c08.wav,Tambourine,1
1176bda6.wav,Cello,1
11798f57.wav,Cello,1
117e4577.wav,Trumpet,1
11b027e8.wav,Violin_or_fiddle,1
11c90896.wav,Cowbell,1
11f7fc13.wav,Clarinet,1
11fbd6c2.wav,Tambourine,1
12198b88.wav,Bass_drum,1
121d766e.wav,Oboe,1
1220471f.wav,Flute,1
125e6ccf.wav,Cello,1
1264b8c7.wav,Saxophone,1
129dc328.wav,Double_bass,1
12a38093.wav,Electric_piano,1
12d4ec7c.wav,Trumpet,1
131b1516.wav,Saxophone,1
134df575.wav,Chime,1
1356f987.wav,Trumpet,1
1374fcda.wav,Flute,1
13798190.wav,Telephone,1
1393c9e0.wav,Oboe,1
139c42cb.wav,Flute,1
13da16ae.wav,Double_bass,1
140027c6.wav,Telephone,1
14041f9a.wav,Acoustic_guitar,1
1415b8b9.wav,Gong,1
142cb2c4.wav,Violin_or_fiddle,1
142dac40.wav,Glockenspiel,1
14303ca5.wav,Acoustic_guitar,1
143f37eb.wav,Tambourine,1
14684ee8.wav,Trumpet,1
149ca673.wav,Acoustic_guitar,1
14ac7cbd.wav,Violin_or_fiddle,1
14b489cd.wav,Oboe,1
154df401.wav,Cello,1
1551f28a.wav,Violin_or_fiddle,1
15914050.wav,Violin_or_fiddle,1
15b4b254.wav,Glockenspiel,1
15ba13c4.wav,Acoustic_guitar,1
15dcc731.wav,Saxophone,1
15e43efb.wav,Violin_or_fiddle,1
15f7e867.wav,Bass_drum,1
160c92d7.wav,Acoustic_guitar,1
162276f0.wav,Clarinet,1
1648effc.wav,Electric_piano,1
16568e3d.wav,Glockenspiel,1
166269ab.wav,Tambourine,1
16854911.wav,Chime,1
169a69f3.wav,Gunshot_or_gunfire,1
16c9a838.wav,Acoustic_guitar,1
16d7ab94.wav,Trumpet,1
16d8450e.wav,Chime,1
16db8d97.wav,Glockenspiel,1
16f26de0.wav,Electric_piano,1
172e4f11.wav,Cowbell,1
17429629.wav,Harmonica,1
